SENTTOT,AGE,CITIZEN,CRIMHIST,CRIMPTS,DISTRICT,DSPLEA,INOUT,MONSEX,NEWEDUC,NEWRACE,OFFGUIDE,PRESENT,SENTIMP,WEAPON,XMAXSOR,XMINSOR
259.0,42.0,1.0,1.0,17.0,49,1,,0.0,3.0,1.0,10,1.0,1,1,293.0,235.0
60.0,22.0,1.0,1.0,4.0,20,1,,0.0,5.0,2.0,10,1.0,1,1,71.0,57.0
48.0,21.0,1.0,1.0,3.0,30,1,,0.0,1.0,2.0,13,1.0,1,0,51.0,41.0
,28.0,1.0,1.0,0.0,47,1,1.0,1.0,3.0,2.0,10,2.0,4,0,6.0,0.0
29.0,36.0,1.0,1.0,7.0,12,1,,0.0,1.0,3.0,10,2.0,1,0,188.0,151.0
6.0,51.0,3.0,1.0,0.0,41,1,0.0,0.0,3.0,3.0,17,1.0,1,0,6.0,0.0
12.03,32.0,1.0,1.0,2.0,39,1,,0.0,3.0,1.0,24,1.0,1,0,21.0,15.0
68.0,34.0,1.0,1.0,4.0,13,1,,0.0,3.0,2.0,10,1.0,1,1,57.0,46.0
154.0,35.0,1.0,1.0,9.0,13,1,,0.0,3.0,2.0,26,1.0,1,1,87.0,70.0
60.0,26.0,1.0,1.0,1.0,34,1,,1.0,1.0,1.0,10,2.0,1,0,108.0,87.0
64.0,41.0,1.0,1.0,0.0,34,8,,0.0,5.0,2.0,16,2.0,1,0,87.0,70.0
63.0,29.0,1.0,1.0,2.0,34,1,,1.0,3.0,1.0,10,1.0,1,0,78.0,63.0
107.0,53.0,1.0,1.0,2.0,70,1,,0.0,1.0,6.0,4,1.0,1,1,71.0,57.0
,24.0,2.0,,,22,5,1.0,1.0,,3.0,30,,3,0,6.0,0.0
150.0,40.0,1.0,1.0,2.0,48,8,,0.0,3.0,2.0,10,1.0,1,1,135.0,108.0
7.0,37.0,3.0,1.0,3.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,14.0,8.0
80.0,31.0,1.0,1.0,3.0,24,1,,0.0,1.0,2.0,10,1.0,1,1,97.0,78.0
,34.0,1.0,1.0,4.0,12,1,,1.0,3.0,1.0,1,2.0,3,0,46.0,37.0
15.0,46.0,3.0,1.0,7.0,70,1,,0.0,5.0,3.0,17,1.0,1,0,27.0,21.0
12.0,28.0,3.0,1.0,2.0,56,1,0.0,0.0,3.0,3.0,17,1.0,1,0,14.0,8.0
,48.0,1.0,0.0,0.0,73,1,,1.0,6.0,6.0,29,2.0,3,0,16.0,10.0
18.0,38.0,3.0,1.0,12.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,30.0,24.0
26.61,48.0,1.0,1.0,3.0,70,1,,0.0,3.0,1.0,24,1.0,1,0,24.0,18.0
188.0,52.0,1.0,1.0,6.0,17,1,,0.0,5.0,2.0,13,1.0,1,0,235.0,188.0
